"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"214","Zotu215","None","None",NA,NA,NA,NA,NA,NA,NA
"215","Zotu216","None","None",NA,NA,NA,NA,NA,NA,NA
"216","Zotu217","None","None",NA,NA,NA,NA,NA,NA,NA
"217","Zotu218","None","None",NA,NA,NA,NA,NA,NA,NA
"218","Zotu219","None","None",NA,NA,NA,NA,NA,NA,NA
"219","Zotu220","None","None",NA,NA,NA,NA,NA,NA,NA
"220","Zotu221","None","None",NA,NA,NA,NA,NA,NA,NA
"221","Zotu222","None","None",NA,NA,NA,NA,NA,NA,NA
"222","Zotu223","None","None",NA,NA,NA,NA,NA,NA,NA
"223","Zotu224","None","None",NA,NA,NA,NA,NA,NA,NA
"224","Zotu225","None","None",NA,NA,NA,NA,NA,NA,NA
"225","Zotu226","None","None",NA,NA,NA,NA,NA,NA,NA
"226","Zotu227","None","None",NA,NA,NA,NA,NA,NA,NA
"227","Zotu228","None","None",NA,NA,NA,NA,NA,NA,NA
"228","Zotu229","None","None",NA,NA,NA,NA,NA,NA,NA
"229","Zotu230","None","None",NA,NA,NA,NA,NA,NA,NA
"230","Zotu231","None","None",NA,NA,NA,NA,NA,NA,NA
"231","Zotu232","None","None",NA,NA,NA,NA,NA,NA,NA
"232","Zotu233","None","None",NA,NA,NA,NA,NA,NA,NA
"233","Zotu234","None","None",NA,NA,NA,NA,NA,NA,NA
"234","Zotu235","None","None",NA,NA,NA,NA,NA,NA,NA
"235","Zotu236","None","None",NA,NA,NA,NA,NA,NA,NA
"236","Zotu237","None","None",NA,NA,NA,NA,NA,NA,NA
"237","Zotu238","None","None",NA,NA,NA,NA,NA,NA,NA
"238","Zotu239","None","None",NA,NA,NA,NA,NA,NA,NA
"239","Zotu240","None","None",NA,NA,NA,NA,NA,NA,NA
"240","Zotu241","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"241","Zotu242","None","None",NA,NA,NA,NA,NA,NA,NA
"242","Zotu243","None","None",NA,NA,NA,NA,NA,NA,NA
"243","Zotu244","None","None",NA,NA,NA,NA,NA,NA,NA
"244","Zotu245","None","None",NA,NA,NA,NA,NA,NA,NA
"245","Zotu246","None","None",NA,NA,NA,NA,NA,NA,NA
"246","Zotu247","None","None",NA,NA,NA,NA,NA,NA,NA
"247","Zotu248","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"248","Zotu249","None","None",NA,NA,NA,NA,NA,NA,NA
"249","Zotu250","None","None",NA,NA,NA,NA,NA,NA,NA
"250","Zotu251","None","None",NA,NA,NA,NA,NA,NA,NA
"251","Zotu252","Low","1470270","Eukaryota","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis lenisilicea"
"252","Zotu253","Low","1436827","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","Paracalanus sp. F AC-2013"
"253","Zotu254","High-MH","None","Eukaryota","","Dinophyceae",NA,NA,NA,NA
"254","Zotu255","None","None",NA,NA,NA,NA,NA,NA,NA
"255","Zotu256","None","None",NA,NA,NA,NA,NA,NA,NA
"256","Zotu257","None","None",NA,NA,NA,NA,NA,NA,NA
"257","Zotu258","None","None",NA,NA,NA,NA,NA,NA,NA
"258","Zotu259","None","None",NA,NA,NA,NA,NA,NA,NA
"259","Zotu260","None","None",NA,NA,NA,NA,NA,NA,NA
"260","Zotu261","None","None",NA,NA,NA,NA,NA,NA,NA
"261","Zotu262","None","None",NA,NA,NA,NA,NA,NA,NA
"262","Zotu263","None","None",NA,NA,NA,NA,NA,NA,NA
"263","Zotu264","None","None",NA,NA,NA,NA,NA,NA,NA
"264","Zotu265","None","None",NA,NA,NA,NA,NA,NA,NA
"265","Zotu266","None","None",NA,NA,NA,NA,NA,NA,NA
"266","Zotu267","None","None",NA,NA,NA,NA,NA,NA,NA
"267","Zotu268","None","None",NA,NA,NA,NA,NA,NA,NA
"268","Zotu269","High","650517","Eukaryota","Rhodophyta","Florideophyceae","Corallinales","Lithophyllaceae","Amphiroa","Amphiroa beauvoisii"
"269","Zotu270","None","None",NA,NA,NA,NA,NA,NA,NA
"270","Zotu271","None","None",NA,NA,NA,NA,NA,NA,NA
"271","Zotu272","None","None",NA,NA,NA,NA,NA,NA,NA
"272","Zotu273","High-MH","None","Eukaryota","Cnidaria","Anthozoa","Alcyonacea","Xeniidae",NA,NA
"273","Zotu274","None","None",NA,NA,NA,NA,NA,NA,NA
"274","Zotu275","None","None",NA,NA,NA,NA,NA,NA,NA
"275","Zotu276","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"276","Zotu277","None","None",NA,NA,NA,NA,NA,NA,NA
"277","Zotu278","None","None",NA,NA,NA,NA,NA,NA,NA
"278","Zotu279","None","None",NA,NA,NA,NA,NA,NA,NA
"279","Zotu280","None","None",NA,NA,NA,NA,NA,NA,NA
"280","Zotu281","None","None",NA,NA,NA,NA,NA,NA,NA
"281","Zotu282","None","None",NA,NA,NA,NA,NA,NA,NA
"282","Zotu283","None","None",NA,NA,NA,NA,NA,NA,NA
